日期,時間,行程名稱,類型,關聯案件,地點,負責人,提醒事項,狀態
2026-06-13,待確認,仰德美麗島,案件,仰德美麗島,待確認,待確認,由 6 月行事曆截圖辨識，時間待確認,待確認
2026-06-13,待確認,微笑城堡 A 待確認,案件,微笑城堡,待確認,待確認,截圖尾端不清，需確認完整樓層或範圍,待確認
2026-06-13,待確認,微笑 B1-6F,案件,微笑,待確認,待確認,由 6 月行事曆截圖辨識，時間待確認,待確認
2026-06-15,待確認,清景麟 A1 待確認,案件,清景麟 A1,待確認,待確認,截圖尾字不清，需確認完整行程名稱,待確認
2026-06-15,待確認,潘先生-舊厝 待確認,案件/客戶,潘先生,待確認,待確認,截圖尾字略模糊，需確認完整行程名稱,待確認
2026-06-17,待確認,富邦,行政/案件,富邦,待確認,待確認,由 6 月行事曆截圖辨識，時間待確認,待確認
2026-06-18,待確認,芷緯-老屋 待確認,案件,芷緯老屋,待確認,待確認,截圖尾端不清，需確認完整行程名稱,待確認
2026-06-18,待確認,屏東環球-待確認,案件,屏東環球,屏東,待確認,截圖尾字不清，需確認是諮詢/請款/其他事項,待確認
2026-06-18,待確認,新文化城安,案件,新文化城安,待確認,待確認,由 6 月行事曆截圖辨識，時間待確認,待確認
2026-06-19,待確認,端午節,節日,,台灣,全員,國定節日，需確認是否影響施工或客戶會議,待確認
2026-06-19,待確認,R5 新世界（截圖尾端不清）,案件/R5,R5 新世界,待確認,待確認,右側文字被截斷，需確認完整行程名稱,待確認
2026-06-19,待確認,聯上康橋-待確認,案件,聯上康橋,待確認,待確認,截圖尾字不清，需確認是諮詢/請款/其他事項,待確認
2026-06-21,待確認,店租,財務/租金,,待確認,待確認,由 6 月行事曆截圖辨識，時間待確認,待確認
2026-06-21,待確認,微笑 B1-6F,案件,微笑,待確認,待確認,由 6 月行事曆截圖辨識，時間待確認,待確認
2026-06-22,待確認,法院三度調 待確認,行政/法院,,待確認,待確認,截圖尾端不清，需確認完整行程名稱,待確認
2026-06-22,待確認,互松對單 待確認,行政/對帳,互松,待確認,待確認,截圖尾端不清，需確認括號內文字,待確認
2026-06-22,待確認,潘先生丈量,丈量,潘先生,待確認,待確認,需確認丈量時間、地點與負責人,待確認
2026-06-22,待確認,劉明俊 121,案件/客戶,劉明俊,待確認,待確認,由 6 月行事曆截圖辨識，時間待確認,待確認
2026-06-23,待確認,BNI 孟維 12 待確認,BNI/商務,,待確認,待確認,截圖尾端不清，需確認完整行程名稱,待確認
2026-06-23,待確認,BNI：呂律 12 待確認,BNI/商務,,待確認,待確認,截圖尾端不清，需確認完整行程名稱,待確認
2026-06-24,待確認,繳卡費,財務/卡費,,待確認,待確認,由 6 月行事曆截圖辨識，時間待確認,待確認
2026-06-24,待確認,富邦銀行拜 待確認,行政/銀行,富邦,待確認,待確認,截圖尾字不清，需確認完整行程名稱,待確認
2026-06-24,待確認,BNI-導師會,BNI/商務,,待確認,待確認,由 6 月行事曆截圖辨識，時間待確認,待確認
2026-06-24,待確認,仰德美麗島,案件,仰德美麗島,待確認,待確認,由 6 月行事曆截圖辨識，時間待確認,待確認
2026-06-25,待確認,資本額移動,財務/行政,,待確認,待確認,由 6 月行事曆截圖辨識，時間待確認,待確認
2026-06-25,待確認,新光高中-折 待確認,案件,新光高中,待確認,待確認,截圖尾字不清，需確認完整行程名稱,待確認
2026-06-25,待確認,BNI 新會員 1 待確認,BNI/商務,,待確認,待確認,截圖尾端不清，需確認完整行程名稱,待確認
2026-06-26,待確認,工程組聚,工程/會議,,待確認,待確認,由 6 月行事曆截圖辨識，時間待確認,待確認
2026-06-28,待確認,監序主任-待確認,行政/會議,,待確認,待確認,截圖尾端不清，需確認完整行程名稱,待確認
2026-06-28,待確認,BNI-春如 1 待確認,BNI/商務,,待確認,待確認,截圖尾端不清，需確認完整行程名稱,待確認
2026-06-29,待確認,瑞揚新生活,案件,瑞揚新生活,待確認,待確認,由 6 月行事曆截圖辨識，時間待確認,待確認
2026-06-29,待確認,大景旭提案,提案,大景旭,待確認,待確認,需確認提案時間、地點、簡報與預算書,待確認
2026-06-29,待確認,聯上康橋-待確認,案件,聯上康橋,待確認,待確認,截圖尾字不清，需確認完整行程名稱,待確認
2026-06-30,待確認,旗津廚具,案件/廚具,旗津,待確認,待確認,由 6 月行事曆截圖辨識，時間待確認,待確認
2026-06-30,待確認,仰德美麗島,案件,仰德美麗島,待確認,待確認,由 6 月行事曆截圖辨識，時間待確認,待確認
2026-06-30,待確認,皇仁-121,案件,皇仁,待確認,待確認,由 6 月行事曆截圖辨識，時間待確認,待確認
2026-06-30,待確認,新文化成安,案件,新文化成安,待確認,待確認,由 6 月行事曆截圖辨識，時間待確認,待確認
